PLAYER_ID,TEAM_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,SEASON,TOTAL_REMAINING_IN_GAME
708,38,4,4,2,18,-116,142,1,2010,364
2592,48,4,4,3,23,230,12,1,2010,343
1718,38,4,4,3,24,198,148,1,2010,326
2544,48,4,4,2,22,59,217,0,2010,311
2548,48,4,15,2,0,7,6,0,2010,297
2592,48,4,4,3,22,-228,0,0,2010,270
708,38,4,15,2,2,-15,15,0,2010,257
201175,38,4,4,2,14,127,63,1,2010,253
708,38,4,9,2,4,-5,42,0,2010,221
2592,48,4,4,3,23,-235,0,0,2010,213
2548,48,4,11,2,8,-81,9,0,2010,180
708,38,4,4,2,16,-163,12,0,2010,154
2544,48,4,4,3,24,146,200,1,2010,145
200765,38,4,3,2,0,0,3,0,2010,126
2544,48,4,4,3,25,97,238,0,2010,117
2548,48,4,4,3,24,-240,25,1,2010,88
2544,48,4,3,2,1,-8,-6,1,2010,70
951,38,4,4,3,22,-226,-8,1,2010,49
2548,48,4,4,3,22,228,0,0,2010,47
2067,48,4,4,2,20,-166,127,0,2010,15
201587,57,1,0,2,1,18,6,1,2010,2857
2045,56,1,3,2,0,9,0,0,2010,2841
201577,56,1,19,2,1,6,12,1,2010,2837
201587,57,1,15,2,1,-2,17,1,2010,2822
2202,56,1,4,3,24,159,187,1,2010,2807
2202,56,1,3,2,1,0,12,1,2010,2785
200750,57,1,4,3,24,-204,127,1,2010,2765
255,56,1,4,3,22,-226,4,0,2010,2748
255,56,1,20,2,5,50,25,1,2010,2732
201587,57,1,4,3,24,6,246,0,2010,2710
959,56,1,10,2,13,10,138,0,2010,2700
200750,57,1,4,3,22,223,11,1,2010,2683
2045,56,1,2,3,24,149,198,0,2010,2659
2202,56,1,14,2,1,7,11,1,2010,2638
200750,57,1,4,2,19,-187,64,0,2010,2621
948,57,1,9,2,16,163,25,1,2010,2617
2045,56,1,4,3,22,225,3,1,2010,2582
1889,57,1,4,2,21,-169,127,0,2010,2561
201587,57,1,19,2,1,-10,9,0,2010,2559
201587,57,1,19,2,0,-8,4,1,2010,2558
959,56,1,1,2,16,-71,154,1,2010,2531
201587,57,1,19,2,1,0,15,0,2010,2502
200750,57,1,4,2,20,-127,167,0,2010,2502
